titre,entreprise,lieu,url,contrat,date_publication,description_courte,source,date_scraping
Alternance IFP School - Ingénieur - prog. Energie et Procédés (ENEP) - F/H,TotalEnergies SE,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Alternance-IFP-School-ENEP/76879,Alternance,10-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.734820
ALTERNANCE - Ingénieur Chimiste Corrosioniste et/ou Risque Industriel H/F,TotalEnergies Raffinage France,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/ALTERNANCE-Ing-nieur-Chimiste-Corrosioniste-et-ou-Risque-Industriel-H-F/77584,Alternance,26-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.744896
CDI - Ingénieur Opérations Réseau - H/F,SAFT SAS,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/CDI-Ing-nieur-Op-rations-R-seau-H-F/77599,CDI,26-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.755424
Alternance IFP School - Ingénieur - prog. Energie et Marchés (ENM) - F/H,TotalEnergies SE,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Alternance-IFP-School-ENM/77013,Alternance,12-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.764266
Alternance IFP School - Ingénieur - prog. Petroleum Engineering and Project Development - F/H,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Alternance-IFP-School-PEPD/77554,Alternance,25-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.775858
Bourse d’études IFP School - Prog. Energy Technology Economics & Management  (ETEM) - F/H,TotalEnergies SE,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Bourse-d-tude-Ifp-School-ETEM/77174,Parrainage,16-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.785720
Project Electrical Engineer,SAFT SAS,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Electrical-Engineer-H-F-Project/72582,CDI,01-12-2025,,totalenergies-jobs,2026-02-28T14:05:09.794315
Project Management Officer (PMO) Débutant H/F,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Project-Management-Officer-PMO-D-butant-H-F/77104,Contrat de professionnalisation Temps plein,26-02-2026,,totalenergies-jobs,2026-02-28T14:05:09.802222
VIE _ Ingénieur de Simulation Réservoir (H/F) _ ANGOLA,TotalEnergies EP Angola,Angola,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/VIE-Ing-nieur-de-Simulation-R-servoir-H-F-ANGOLA/75376,VIE,14-01-2026,,totalenergies-jobs,2026-02-28T14:05:09.810934
Ingénieur Solutions Digitales Débutant - H/F,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Ing-nieur-Solutions-Digitales-D-butant-H-F/76587,Contrat de professionnalisation Temps plein,03-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.669651
Senior Sales Manager (m/w/d) Power Purchase Agreements Offshore Wind Germany,TotalEnergies Marketing Deutschland GmbH,Allemagne,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Senior-Sales-Manager-m-w-d-Power-Purchase-Agreements-Offshore-Wind-Germany/73391,CDI,12-12-2025,,totalenergies-jobs,2026-02-28T14:05:22.682960
Junior Development Coordinator (m/w/d) Offshore Wind Germany,TotalEnergies Marketing Deutschland GmbH,Allemagne,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Junior-Development-Coordinator-m-w-d-Offshore-Wind-Germany/77291,CDI,19-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.693786
Ingénieur Commercial H/F,TotalEnergies,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Ing-nieur-Commercial-H-F/77620,CDI,27-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.701763
STAGE - ECO-CONCEPTION H/F,TotalEnergies,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/STAGE-ECO-CONCEPTION-H-F/77451,Alternance,24-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.710327
STAGE - OPTIMISATION DES COÛTS DE PROD H/F,TotalEnergies,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/STAGE-OPTIMISATION-DES-CO-TS-DE-PROD-H-F/77566,Alternance,26-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.718429
Technicien Méthodes & Industrialisation H/F,TotalEnergies,Maroc,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Technicien-M-thodes-Industrialisation-H-F/77565,CDI,26-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.726369
Stage – Assistant(e) Hygiéniste Industriel(le),TotalEnergies Raffinage France,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Stage-Assistant-e-Hygi-niste-Industriel-le/76568,Stage conventionné,03-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.735914
VIE _ Ingénieur Méthodes Mécaniques (H/F) _ ANGOLA,TotalEnergies EP Angola,Angola,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/VIE-Ing-nieur-M-thodes-M-caniques-H-F-ANGOLA/75381,VIE,14-01-2026,,totalenergies-jobs,2026-02-28T14:05:22.744319
VIE _ Ingénieur méthodes maintenance et optimisation (H/F) _ CONGO,TotalEnergies EP Congo,Congo,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/VIE-Ing-nieur-m-thodes-maintenance-et-optimisation-H-F-CONGO/75783,VIE,21-01-2026,,totalenergies-jobs,2026-02-28T14:05:22.752734
Assistant de service - Débutant H/F,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Assistant-de-service-D-butant-H-F/77276,Contrat de professionnalisation Temps plein,19-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.762352
VIE _ Ingénieur en surveillance des réservoirs (H/F)_Qatar,TotalEnergies EP Qatar 2,Qatar,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/VIE-Reservoir-Monitoring-Engineer-H-F-Qatar/77005,VIE,17-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.771769
Ingénieur Télécom – Gestion de réseaux filiales Débutant - ou - Stage de 6 mois H/F,TotalEnergies SE,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Ing-nieur-T-l-com-Gestion-de-r-seaux-filiales-D-butant-ou-Stage-de-6-mois-H-F/73581,Stage conventionné,17-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.780314
Alternant(e) Inspection,TotalEnergies,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Alternant-e-Inspection/63248,Alternance,21-01-2025,,totalenergies-jobs,2026-02-28T14:05:22.789091
Responsable Pôle Exploitation Facturation Mass Market,TotalEnergies Electricité et Gaz France,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Responsable-P-le-Exploitation-Facturation-Mass-Market/77542,CDI,25-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.797930
Ingénieur Réservoir Débutant Digital Rock Physics H/F,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Ing-nieur-R-servoir-D-butant-Digital-Rock-Physics-H-F/76643,Contrat de professionnalisation Temps plein,04-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.806695
Géomaticien pour développement de solutions SIG desktop et web- Débutant H/F,TotalEnergies OneTech,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/G-omaticien-pour-d-veloppement-de-solutions-SIG-desktop-et-web-D-butant-H-F/77412,Contrat de professionnalisation Temps plein,23-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.815556
ALTERNANCE - MODELISATION DE LA DISPERSION DE POLLUANT EN CHAMP PROCHE,TotalEnergies,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/ALTERNANCE-MODELISATION-DE-LA-DISPERSION-DE-POLLUANT-EN-CHAMP-PROCHE/34295,Alternance,22-06-2023,,totalenergies-jobs,2026-02-28T14:05:22.822922
ALTERNANCE - Ingénieur HSE H/F,TotalEnergies Marketing France,France,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/ALTERNANCE-Ing-nieur-HSE-H-F/76745,Alternance,16-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.832852
Responsable QHSE F/H/X [FPI FLA - CCGT],TotalEnergies - Centrale Electrique Marchienne-au-Pont,Belgique,https://jobs.totalenergies.com/fr_FR/careers/JobDetail/Responsable-QHSE-F-H-X-FPI-FLA-CCGT/76826,CDI,09-02-2026,,totalenergies-jobs,2026-02-28T14:05:22.842464
